Title,Study,Decision-Making Time,Expertise Level of User,QA Score,Industry,Subcategory,AI Type - Intervention,Comparison,Was explainability/interpretability considered?,XAI Type,Decision Making - (Intervention),Deployed?,Data Type,Output Feature,Safety Outcome,Was regulation considered?,Regulatory Oversight Body (if any),Key Findings,Feature Study?,Full Text Review Notes,Analysis Notes,DOI,Published Year,Country
Graph neural network based multiple accident diagnosis in nuclear power plants: Data optimization to represent the system configuration,Chae 2022,Seconds or Less,Expert,90.48,Nuclear,"Accidents, Diagnostics",Graph Neural Network,CNN,No,Non-Applicable,Human in the Loop,No,Synthetic,Single and Multiple Nuclear Accident Diagnosis,Diagnostic,No,Non-Applicable,"“In this study, we proposed an algorithm that can not only diagnose multiple accidents so as to reduce human error but also use data efficiently.”
”In addition to PSA analysis, the types of failures occurring in NPPs operating in Korea were divided into human, mechanical, electrical, instrumentation, and external failures; the proportion of accidents due to human error is 26%,  which is the second highest percentage after electrical failure”",Yes,"Nataly Panczyk (2026-01-27 11:09:48)(Select): Goal is to reduce human error with accident diagnosis info with limited sensor detail. 
Not a whole lot of information about the implementation of the AI into the larger system or any ounce of regulatory detail (the authors are Korean), but might be one of the only nuclear papers we get. ;","This is pretty typical of the nuclear industry— good idea, not enough data to back it up. I’m not sure how we would address this other than by using synthetic data because we don’t have enough accident history.",10.1016/j.net.2022.02.024,2022,Korea
Predictive modeling of survival and toxicity in patients with hepatocellular carcinoma after radiotherapy,Chamseddine 2022,Days or More,Expert,95.24,Medical,Radiation Treatment,"FNN, Gradient Boosting, Support Vector Machines",Logistic Regression,Yes,Feature Importance,Augmented Human Decision-Making,No,"Clinical - Condition Onset Details, Clinical - Physiological, Demographic",Treatment failure and radiation-induced toxicities after radiotherapy,Survival,No,Non-Applicable,"“Particularly in HCC, clinical studies have shown multiple prognostic factors,19,20 although correlation does not always translate into predictive power, and there could be interactions between baseline patient characteristics.”",No,"Nataly Panczyk (2026-01-27 11:46:06)(Select): Various ML methods tested to predict survival for radiotherapy treated patients. Goal was to stratify patients (identify those who might benefit from clinical trials of other treatment options) based on risk from standard radiotherapy treatement.
Emphasizes importance of interpretability in logistic regression method;","linear and non-linear modeling is used here
this is an extremely rigorous study
they don’t explicitly talk about explainability, but they do talk about “the most important features”
study was validated on unseen data from another hospital",10.1200/CCI.21.00169,2022,United States
Evaluation of large language models' ability to identify clinically relevant drug-drug interactions and generate high-quality clinical pharmacotherapy recommendations,Chase 2025,Minutes-Hours,Expert,85.71,Medical,Pharmacology,"Generative AI, LLM",Human Evaluation,Yes,Non-Specific,Augmented Human Decision-Making,No,"Clinical - Dosimetric, Synthetic","Whether or not there were drug-drug interactions provided in the example case, a determination of clinical relevance, a rationale, and a clinical recommendation",Drug Interaction,Yes,Non-Specific,"“The explainability/interpretability of model outputs (eg, prompting the model for references or a rational for recommendations) was not undertaken, and the “black box” nature of LLMs is an ongoing concern that impacts the clinical acceptability of these tools.”",Yes,"Nataly Panczyk (2026-01-27 12:22:44)(Select): Evaluated three open LLMs (Claude, Gemini, and chatGPT) on identifying drug interactions for patient profiles.
Discusses limits on applicability of the tools due to limited interpretability.;","“Data source. An expert panel of 3 board-certified critical care pharmacists created 15 patient cases with complete medication regimens, with each case designed to contain one DDI (defined as the index DDI) that is commonly encountered in clinical settings and has a well-established rationale and mechanism based on documentation in UpToDate’s LexiDrug database.37 The medication regimen in each case contained 2 medications directly related to the index DDI and additional distractor medications not related to the index DDI.”",10.1093/ajhp/zxaf168,2025,United States
Evaluation of an automated clinical decision system with deep learning dose prediction and NTCP model for prostate cancer proton therapy,Chen 2024,Days or More,Expert,90.48,Medical,Radiation Treatment,UNets,Human Evaluation,No,Non-Applicable,Human in the Loop,No,Clinical - Imaging,Proton vs photon therapy as optimal for prostate cancer treatment,Safe Radiation Dose,No,Non-Applicable,"“In this study, we have developed a fast approach for pre-selecting patients to be admitted to proton therapy using deep learning dose prediction. The new approach was efficient by requiring only the CT images and contours of a region of interest, reducing more than 33% of the workload and time.”
",Yes,Nataly Panczyk (2026-01-27 12:40:21)(Select): Sought to determine dose prediction for prostate cancer via UNet model and which patients would benefit most from proton therapy vs other treatments;,"An uncertainty analysis was performed for this study, which was nice and a step towards explainability
Mentions that using deep learning helps increase objectivity in medicine, as in this example of radiation treatment.",10.1088/1361-6560/ad48f6,2024,China
"Ability of machine-learning based clinical decision support system to reduce alert fatigue, wrong-drug errors, and alert users about look alike, sound alike medication",Chen 2024,Minutes-Hours,Expert,85.71,Medical,Pharmacology,Association Rule Learning,Non Applicable,No,Non-Applicable,Augmented Human Decision-Making,Yes,"Behavioral, Clinical - Dosimetric",If alerts were accepted or not and whether or not they were false alarms,"Drug Interaction, Medication Prescription",No,Non-Applicable,"“This study sought to evaluate the overall performance of a machine learning-based CDSS (MedGuard) for triggering clinically relevant alerts, acceptance rate, and to intercept inappropriate drug errors as well as LASA drug errors.”
”Although the primary purpose of using a CDSS is to reduce the patient harm caused by MEs [29,30], evidence also shows that they don’t always have a positive impact on reducing harm [31,32]. Using a CDSS can lead to unintended consequences if the system does not work optimally [33], the interface is too busy and complex (difficult to navigate) [34], or if it provides inappropriate or clinically irrelevant alerts [35]. Multiple clinically irrelevant alerts or pop-ups can become a nuisance to the physicians and can cause alert fatigue [36], resulting in important alerts being missed [”",No,Nataly Panczyk (2026-01-27 12:26:32)(Select): Evaluation of an already commercially available AI to help stop drug errors and other mistakes common from clinician fatigue;,"This is more of a CDSS implementation study than a pure ML study, but it’s very useful because it considers an already implemented system. I’m skeptical about the quality of the CDSS system though because I’ve never heard of the association based learning thing.",10.1016/j.cmpb.2023.107869,2024,"Taiwan, United States"
A machine learning-based clinical decision support system to identify prescriptions with a high risk of medication error,Corny 2020,Minutes-Hours,Expert,85.71,Medical,Pharmacology,Gradient Boosting,Other Studies,No,Non-Applicable,Human in the Loop,Yes,"Clinical - Dosimetric, Clinical - Physiological, Demographic",Binary flag of whether or not a patient was likely to have at least 1 drug-related error in their prescription order,Medication Prescription,No,Non-Applicable,“Our findings confirm that the algorithm outperformed classic systems in its capacity to limit the number of false alerts without overlooking patients with prescription order errors.”,No,"Nataly Panczyk (2026-01-29 02:25:19)(Select): Reviews effectiveness of Lumio Medication— a commercial AI software to detect medication errors, a leading cause of death internationally. 
Lumio may still be running, but their website domain is for sale? ;","System deployed in one hospital
I’m a little confused because they talk about using Lumio but also about using LightGBM, which sounds like they made it from scratch? ",10.1093/jamia/ocaa154,2020,France
Acute stroke CDS: automatic retrieval of thrombolysis contraindications from unstructured clinical letters,Cutforth 2023,Minutes-Hours,Expert,95.24,Medical,"Stroke, Treatment Plan",Natural Language Processing,Human Evaluation,No,Non-Applicable,Augmented Human Decision-Making,No,"Demographic, Medical Records","Medical history that compromises thrombolysis ",Thrombolysis Eligibility,No,Non-Applicable,"“Biomedical NER is considered to be a slightly harder task than general domain NER due to the prevalence of abbreviations, synonymy, and morphological complexity as a result of the use of unusual characters such as Greek letters, digits, and punctuation”
”the model has a better micro precision (0.854 vs. 0.791) but a worse micro recall (0.837 vs. 0.911) than the human annotators, which from a clinical point of view is not desirable, since false negatives are more serious than false positives when searching for contraindications”
”rare labels are handled less effectively”",No,"Nataly Panczyk (2026-01-29 02:49:55)(Select): Uses natural language processing to review patient history records for rapid decision support on whether to administer thrombolysis
Helps assess risks for ischaemic stroke treatment;","Type of model specifically is PubMedBERT (NLP trained on PubMed)
10K patients (enormous dataset)",10.3389/fdgth.2023.1186516,2023,United Kingdom
Robotics and AI into healthcare from the perspective of European regulation: who is responsible for medical malpractice?,DeMicco 2024,N/A,N/A,80.95,Medical,"Legal, Regulatory",Non-Specific,Human Evaluation,No,Non-Applicable,Non Applicable,Non Applicable,Non Applicable,Patient outcomes,Sparing lives,Yes,European Parliament,"“safety devices should be incorporated from the design phase, to ensure the safety of AI systems in a verifiable manner during each phase, with particular attention to the physical and mental protection of all individuals involved; the algorithm used should be described and the decision-making process should be explained, recorded and documented. Finally, in the event of an unfair negative impact, accessible mechanisms should be provided to ensure adequate means of redress”
“In order to ensure fair and transparent data processing, the data subject must be provided with information on the logic used in automated decision-making as well as the possible consequences (49). Therefore, AI systems should be developed to enable humans to understand their actions and the underlying logic in order to increase transparency and minimise the risk of bias or error (50).”
”We argue that specific laws are needed to address the issue of medical liability in cases where robotics and artificial intelligence are used in healthcare.”
”By 2021, 42% of healthcare organisations in the European Union had already integrated artificial intelligence technologies for disease diagnosis, demonstrating a growing trend in the adoption of innovative solutions in the medical sector.”
”We will focus on the concept of “electronic persons,” which refers to the legal consideration of artificial entities such as robots and AI systems within the legal context. The status of electronic persons raises fundamental questions regarding their legal responsibility, rights, and duties, and represents an advanced frontier in technology law”",Yes,"Nataly Panczyk (2026-01-29 03:22:13)(Select): Regulatory/legal perspective on how we can use AI in safety critical contexts
Focuses on the EU, so will probably have to compare to the US if data are available?;","-Article includes stats on projected growth of medAI
-Focuses on the concept of “strict liability” — this means that a medical practitioner can be held responsible for malpractice without proof of fault or negligence
-There is already existing legislation in the EU that says that AI systems should be developed such that humans can understand their actions
-this one alludes to explainability but doesn’t quite say it outright. they talk about “black-boxes”",10.3389/fmed.2024.1428504,2024,Italy
Toward generalizability in the deployment of artificial intelligence in radiology: Role of computation stress testing to overcome underspecification,Eche 2021,Days or More,Expert,80.95,Medical,Imaging,Non Applicable,Non Applicable,No,Non-Applicable,Augmented Human Decision-Making,Non Applicable,Non Applicable,Not applicable.,Diagnostic,No,Non-Applicable,"“One of the main obstacles to the incorporation of automated AI-based decision-making tools in medicine is the failure of models to generalize when deployed across institutions with heterogeneous populations and imaging protocols.”
”Stress testing has already shown to rule out spurious models in other domains such as dermatology and natural language processing.”",No,"Nataly Panczyk (2026-01-29 12:57:56)(Select): Describes major limitation to implementing AI in radiology— underspecficiation and limited generalizability (i.e., the model doesn’t perform well on certain ethnicities or certain ages because it wasn’t exposed to enough variety during training);","Under specification is the inability of the pipeline to ensure that the model has encoded the inner logic of the system. Both overfitting and under specification are limits for widely generalizable models. Medical datasets tend to be imbalanced because some features are more frequent and common than others. The utility of an AI model in a medical application is increased for diagnosing rare conditions because radiologists are less likely to identify these rare conditions. However, it is also harder for the model to do because it doesn't see this type of condition in its training data sufficiently.",10.1148/ryai.2021210097,2021,"France, United States"
Autonomised harming,Eggert 2025,Seconds or Less,General Public,100,Autonomous Vehicles,Ethics,AV Built-In,Human Evaluation,No,Non-Applicable,Autonomous,Yes,Non Applicable,Non Applicable,Sparing lives,Yes,Non-Specific,"“[This paper] asks what considerations, other than the significant potential to do good and cause harm, bear on the ethics of delegating  decisions about whether and whom to harm to artificial intelligence (AI)”
”Section III examines to what extent the permissibility of autonomised harming may nonetheless be determined by the same principles as the permissibility of harms caused by human agents; and discusses the possibility that there may be unique properties pertaining to autonomised agency, which might render it a sui generis area of moral activity.
”Being harmed by, say, an autonomous vehicle is neither like being run over by a reckless or negligent human driver nor like being run over by a runaway trolley set in motion by the wind.”
”who has the legitimate authority to programme and set vehicles’ risk-distribution algorithms: manufacturers, the state and its regulators, or individual citizens? How we answer this question may affect what algorithms should be optimised for, given that individuals may, within limits, have agent-relative prerogatives to protect themselves at the expense of others, whereas states are obligated to regard all citizens’ lives as being of equal value.”",Yes,"Nataly Panczyk (2026-01-29 13:00:52)(Select): this is fantastic
-philosophical but broadly applicable;","This paper explicitly states that it deals with “narrow AI,” which is the opposite of artificial general intelligence. It's focusing on systems like automated war systems and autonomous vehicles.
The bad luck approach equates innocent people suffering from autonomized harm as morally comparable to suffering misfortune.",10.1007/s11098-023-01990-y,2025,United Kingdom
NLE-DM: Natural-language explanations for decision making of autonomous driving based on semantic scene understanding,Feng 2023,Seconds or Less,General Public,90.48,Autonomous Vehicles,Explanations,Natural Language Processing,Human Evaluation,Yes,Natural Language Explanations,Autonomous,No,Driving Scenes/Scenarios,Joint prediction of the decision-making action and the corresponding natural language explanation.,Sparing lives,No,Non-Applicable,"“To provide a solution to this problem, we propose a deep neural network that jointly predicts the decision-making actions and corresponding natural-language explanations based on semantic scene understanding.”",No,"Nataly Panczyk (2026-01-30 04:12:25)(Select): Employs “joint predictions of actions and reasons” and 2 types of explainability metrics, however, I’m not sure these are true explanations so much as they are “predictions of explanations” or “predictions of reasons.” This kind of pseudo-explainability seems dangerous, but warrants further investigation ;","In general, this is an interesting study, but I'm skeptical of some of the results because there's no uncertainty, evaluation, or reliability associated with their explanation method, which is a joint prediction with natural language processing. This seems potentially prone to error because it is just a simultaneous prediction and is using machine learning itself instead of describing something inherent about the network.",10.1109/TITS.2023.3273547,2023,China
Stereotactic radiation therapy or protons for uveal melanoma patients? An artificial intelligence (AI)-based clinical treatment decision-making tool predicting doses to radiation therapy constraints,Fleury 2025,Days or More,Expert,90.48,Medical,Radiation Treatment,Random Forest,Human Evaluation,Yes,Rationale for Certain Models,Augmented Human Decision-Making,No,"Clinical - Imaging, Clinical - Physiological",Classification of correct treatment modality,Safe Radiation Dose,No,Non-Applicable,"“The overall prediction accuracy for selecting the correct treatment modality across the entire cohort was 81%, 77%, 91%, and 93% for Profile I to IV, respectively.”
”If the risk exceeds a pre-defined threshold and is deemed unacceptable with photons, then protons are justified. This approach is a long and tedious process, and the patient must wait until the simulation, planning, and comparison steps are completed before being offered treatment alternatives. In the approach proposed in this study, AI can be used almost at the time of the first consultation and after performing an ultrasound to obtain information about the location, size, and shape of the tumor”",No,"Nataly Panczyk (2026-01-30 07:06:31)(Select): Uses AI to help determine best radiation treatment option by predicting risk of side effects of proton vs stereotactic radiation. Generally, the risks of each treatment are unique to the patient and their health history, so the use of AI could help expedite and personalize their treatment plan;",“Uveal melanoma (UM) is a rare malignancy frequently treated with radiation therapy to preserve the eye.”,10.1016/j.ijrobp.2025.06.3867,2025,"Austria, Netherlands"
